,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
134,56,Belgium,2015,Percentage of individuals using the internet,85.1,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
135,56,Belgium,2019,Percentage of individuals using the internet,90.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
136,56,Belgium,2020,Percentage of individuals using the internet,91.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
137,56,Belgium,2021,Percentage of individuals using the internet,92.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
138,84,Belize,2000,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
139,84,Belize,2005,Percentage of individuals using the internet,17.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
140,84,Belize,2010,Percentage of individuals using the internet,28.2,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
141,84,Belize,2015,Percentage of individuals using the internet,41.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
142,84,Belize,2019,Percentage of individuals using the internet,57.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
143,84,Belize,2020,Percentage of individuals using the internet,59.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
144,84,Belize,2021,Percentage of individuals using the internet,62.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
145,204,Benin,2000,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
146,204,Benin,2005,Percentage of individuals using the internet,1.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
147,204,Benin,2010,Percentage of individuals using the internet,3.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
148,204,Benin,2015,Percentage of individuals using the internet,11.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
149,204,Benin,2019,Percentage of individuals using the internet,22.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
150,204,Benin,2020,Percentage of individuals using the internet,28.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
151,204,Benin,2021,Percentage of individuals using the internet,34.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
152,60,Bermuda,2000,Percentage of individuals using the internet,42.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BMU,060
153,60,Bermuda,2005,Percentage of individuals using the internet,65.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BMU,060
154,60,Bermuda,2010,Percentage of individuals using the internet,84.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BMU,060
155,60,Bermuda,2015,Percentage of individuals using the internet,98.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BMU,060
156,64,Bhutan,2000,Percentage of individuals using the internet,0.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
157,64,Bhutan,2005,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
158,64,Bhutan,2010,Percentage of individuals using the internet,13.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
159,64,Bhutan,2015,Percentage of individuals using the internet,39.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
160,64,Bhutan,2019,Percentage of individuals using the internet,74.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
161,64,Bhutan,2020,Percentage of individuals using the internet,79.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
162,64,Bhutan,2021,Percentage of individuals using the internet,85.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
163,68,Bolivia (Plurin. State of),2000,Percentage of individuals using the internet,1.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
164,68,Bolivia (Plurin. State of),2005,Percentage of individuals using the internet,5.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
