,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
91,35,South-eastern Asia,2000,Percentage of individuals using the internet,2.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
92,35,South-eastern Asia,2005,Percentage of individuals using the internet,8.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
93,35,South-eastern Asia,2010,Percentage of individuals using the internet,18.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
94,35,South-eastern Asia,2015,Percentage of individuals using the internet,31.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
95,35,South-eastern Asia,2019,Percentage of individuals using the internet,52.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
96,35,South-eastern Asia,2020,Percentage of individuals using the internet,58.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
97,35,South-eastern Asia,2021,Percentage of individuals using the internet,65.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
98,34,Southern Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
99,34,Southern Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
100,34,Southern Asia,2010,Percentage of individuals using the internet,7.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
101,34,Southern Asia,2015,Percentage of individuals using the internet,15.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
102,34,Southern Asia,2019,Percentage of individuals using the internet,31.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
103,34,Southern Asia,2020,Percentage of individuals using the internet,42.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
104,34,Southern Asia,2021,Percentage of individuals using the internet,45.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
105,145,Western Asia,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
106,145,Western Asia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
107,145,Western Asia,2010,Percentage of individuals using the internet,32.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
